industry,baseline_avg,peak_drop_avg,drop_percentage,recovery_2021_avg,recovery_2022_avg
Transportation (non-freight),100.02,52.72,-47.30,84.57,89.96
Education,100.21,52.94,-47.26,102.54,103.39
Insurance,99.03,52.58,-46.45,71.17,67.61
Media & Internet,100.26,61.86,-38.40,89.27,92.68
Holding Companies & Conglomerates,99.39,66.89,-32.50,132.95,144.94
Hospitality,100.12,72.19,-27.93,83.89,76.22
Consumer Services,100.26,73.43,-26.83,84.31,79.43
Minerals & Mining,100.33,77.75,-22.58,89.31,80.30
Healthcare Services & Hospitals,100.05,78.94,-21.11,80.47,72.62
Construction,100.03,81.75,-18.28,76.84,63.12
Real Estate,100.14,82.06,-18.07,96.10,98.09
Retail,99.98,85.13,-14.85,93.10,79.36
Business Services,100.07,85.49,-14.58,93.57,87.49
Energy & Utilities,100.14,85.63,-14.51,91.35,88.25
Government,99.78,87.80,-11.98,99.53,102.04
Manufacturing,99.95,90.26,-9.69,98.61,92.54
Freight & Logistics Services,99.95,90.49,-9.46,99.12,92.82
"Waste Treatment, Environmental Services & Recycling",100.12,93.42,-6.70,108.95,102.33
Telecommunications,99.72,96.24,-3.48,93.36,78.72
Finance,99.87,99.98,0.11,94.07,70.80
Agriculture,99.58,102.24,2.66,109.40,97.61
Organizations,,,,1.40,3.00
