metric_category,dimension_1,dimension_2,unique_contributors,total_edits,minor_edits,reverted_edits,avg_article_length,year_value,month_value,namespace_value,contributor_name,contributor_rank
YEARLY_TREND,Anonymous (IP),2007,5351619,18948657,45,0,16921.75314799358,2007,,,,
YEARLY_TREND,Anonymous (IP),2008,5386391,17861849,34,0,18245.444309097024,2008,,,,
YEARLY_TREND,Anonymous (IP),2009,4973945,16301806,17,0,19686.41802975694,2009,,,,
YEARLY_TREND,Anonymous (IP),2006,3670255,14638137,17,0,16419.052379138124,2006,,,,
YEARLY_TREND,Anonymous (IP),2005,1347833,5699023,16,0,11677.43906666107,2005,,,,
YEARLY_TREND,Anonymous (IP),2010,544710,1436068,0,0,20599.661951941,2010,,,,
YEARLY_TREND,Anonymous (IP),2004,314633,1359324,512,0,8090.233670559781,2004,,,,
YEARLY_TREND,Anonymous (IP),2003,64412,306018,2638,0,4792.51453182493,2003,,,,
YEARLY_TREND,Anonymous (IP),2002,19496,168091,71721,0,3236.3805319737558,2002,,,,
YEARLY_TREND,Anonymous (IP),2001,2967,26237,8741,0,2804.7692952700368,2001,,,,
YEARLY_TREND,Registered User,2008,1080339,56895193,17646192,0,19541.327427274904,2008,,,,
YEARLY_TREND,Registered User,2007,1125869,56287106,17139959,0,18162.499868673345,2007,,,,
YEARLY_TREND,Registered User,2009,1053830,54297339,18429909,0,19714.766147011374,2009,,,,
YEARLY_TREND,Registered User,2006,751069,42576523,13558905,0,16516.031934805942,2006,,,,
YEARLY_TREND,Registered User,2005,178513,14998407,5583589,0,12616.357924278242,2005,,,,
YEARLY_TREND,Registered User,2004,44700,5640535,2291144,0,9795.116661628726,2004,,,,
YEARLY_TREND,Registered User,2010,164733,4581709,1472118,0,21090.779816003178,2010,,,,
YEARLY_TREND,Registered User,2003,9406,1292345,576226,0,6762.66841129884,2003,,,,
YEARLY_TREND,Registered User,2002,2060,448787,186378,0,3815.0603627110445,2002,,,,
YEARLY_TREND,Registered User,2001,363,31322,11636,0,3265.165889789924,2001,,,,
YEARLY_TREND,Unknown,2009,0,1482,310,0,14315.309041835359,2009,,,,
YEARLY_TREND,Unknown,2008,0,533,185,0,21797.253283302085,2008,,,,
YEARLY_TREND,Unknown,2007,0,209,9,0,17305.492822966506,2007,,,,
YEARLY_TREND,Unknown,2010,0,197,32,0,15135.274111675131,2010,,,,
YEARLY_TREND,Unknown,2006,0,81,3,0,9800.506172839509,2006,,,,
YEARLY_TREND,Unknown,2005,0,47,22,0,12391.148936170213,2005,,,,
YEARLY_TREND,Unknown,2004,0,10,0,0,6788.6,2004,,,,
